ticket_id,Summary,Description,Classification,Customer,Priority,Product,Status,FullContent,OpenDate,dataset,cluster
PC-Q0001,HSO Formulario de envío de muestra para confirmación de VIH pediátrico,"**Problem** 
The client requested the addition of a questionnaire to the “Solicitud formulario de envío de muestra para confirmación de VIH pediátrico” and an accompanying guide for filling it out. The ticket includes several document uploads (e.g., *Formulario de envío de muestra para confirmación de VIH pediátrico.docx*, *formulario neo.pdf*) and references to the need for a commercial document (DC) and final validation. The issue was initially opened by “Generico,SSMO” and later forwarded through multiple support tiers (Chile Support, Product team, and specific personnel such as Victor Hidalgo, Nicole Aliaga, and Javiera Vergara). Several status changes are recorded in JIRA (TC‑348394) from Logged → Open → In Progress → Closed. The development is slated as part of Adhoc 13, with a UAT environment already provisioned. The overarching problem is to ensure the questionnaire is correctly incorporated, approved, and delivered for client validation.

**Solution** 
1. **Questionnaire Update** – The questionnaire *Formulario de Envío de Muestra para Confirmación de VIH Pediátrico* (code TCEVIHPED) was reviewed and updated per the latest specifications. 
2. **Commercial Documentation** – A commercial document was generated and sent to the project manager for management, followed by the creation of an authorization commercial document, which was signed and returned. 
3. **Approval Workflow** – The signed DC was validated by the Health Services Office (HSO). 
4. **Development & Testing** – Development work on the questionnaire was completed and the final product was moved to “Development finalized.” The form was deployed to the UAT environment in both the GS and PA requested segments. 
5. **Client Notification** – Daniel González from the Product team confirmed the availability of the form in UAT and informed the client that it was ready for validation. 
6. **Final Validation** – The client verified the form in UAT, confirming compliance with the requirement. 

Throughout the process, the issue was transferred among support engineers, product specialists, and advisory consultants, culminating in the final closure of the JIRA ticket.

**Additional Information** 
- Documents uploaded: *Formulario de envío de muestra para confirmación de VIH pediátrico.docx*, *formulario neo.pdf*. 
- Support transfers: from Generico,SSMO → Chile Support → Victor Hidalgo → Chile Edition → Nicole Aliaga → Jorge Sepulveda → Vergara, Javiera → González, Daniel. 
- JIRA TC‑348394 status timeline: Logged → Open → In Progress → Closed. 
- Email correspondence references to the support email mesadeayuda@intersystems.com and the Product team. 
- The project is categorized under Adhoc 13, indicating a non‑routine enhancement. 
- Final validation occurred in the UAT environment; the client received notification upon availability.",Enhancement Request,Stonegate Medical Center,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: HSO Formulario de envío de muestra para confirmación de VIH pediátrico

DESCRIPTION: **Problem** 
The client requested the addition of a questionnaire to the “Solicitud formulario de envío de muestra para confirmación de VIH pediátrico” and an accompanying guide for filling it out. The ticket includes several document uploads (e.g., *Formulario de envío de muestra para confirmación de VIH pediátrico.docx*, *formulario neo.pdf*) and references to the need for a commercial document (DC) and final validation. The issue was initially opened by “Generico,SSMO” and later forwarded through multiple support tiers (Chile Support, Product team, and specific personnel such as Victor Hidalgo, Nicole Aliaga, and Javiera Vergara). Several status changes are recorded in JIRA (TC‑348394) from Logged → Open → In Progress → Closed. The development is slated as part of Adhoc 13, with a UAT environment already provisioned. The overarching problem is to ensure the questionnaire is correctly incorporated, approved, and delivered for client validation.

**Solution** 
1. **Questionnaire Update** – The questionnaire *Formulario de Envío de Muestra para Confirmación de VIH Pediátrico* (code TCEVIHPED) was reviewed and updated per the latest specifications. 
2. **Commercial Documentation** – A commercial document was generated and sent to the project manager for management, followed by the creation of an authorization commercial document, which was signed and returned. 
3. **Approval Workflow** – The signed DC was validated by the Health Services Office (HSO). 
4. **Development & Testing** – Development work on the questionnaire was completed and the final product was moved to “Development finalized.” The form was deployed to the UAT environment in both the GS and PA requested segments. 
5. **Client Notification** – Daniel González from the Product team confirmed the availability of the form in UAT and informed the client that it was ready for validation. 
6. **Final Validation** – The client verified the form in UAT, confirming compliance with the requirement. 

Throughout the process, the issue was transferred among support engineers, product specialists, and advisory consultants, culminating in the final closure of the JIRA ticket.

**Additional Information** 
- Documents uploaded: *Formulario de envío de muestra para confirmación de VIH pediátrico.docx*, *formulario neo.pdf*. 
- Support transfers: from Generico,SSMO → Chile Support → Victor Hidalgo → Chile Edition → Nicole Aliaga → Jorge Sepulveda → Vergara, Javiera → González, Daniel. 
- JIRA TC‑348394 status timeline: Logged → Open → In Progress → Closed. 
- Email correspondence references to the support email mesadeayuda@intersystems.com and the Product team. 
- The project is categorized under Adhoc 13, indicating a non‑routine enhancement. 
- Final validation occurred in the UAT environment; the client received notification upon availability.

KEYWORDS: HSO, VIH pediátrico, envío de muestra, UAT, Adhoc 13

DETAILS: formulario envío muestra VIH pediátrico, cuestionario solicitud, guía llenado, documentación adjunta, confirmación VIH",2022-07-15 00:00:00,questionnaires,1
PC-Q0002,Dde d'évolution : traduction d'un questionnaire existant,"**Problem** 
Sandy Kromer requested a French translation of the existing “test de marche” questionnaire. The current version is in English and the translation had not been released. The user needed the questionnaire to be available to all caregivers in all DPI questionnaire tabs. When testing, Sandy confirmed that the questionnaire’s layout appears correctly in French, but the underlying question descriptions (the “core” questions) could not be translated; only the titles are shown in French. She also raised confusion about where to find release‑note information for the French translation, specifically for versions T2022.8 and T2023.4.

**Solution** 
The support team decided that the core question text cannot be translated in the current build. Only the display titles will be in French, which satisfies the user’s requirement that the questionnaire be visible to French‑speaking staff. JIRA tickets were opened (TC‑357526 for the “test de marche” questionnaire and TC‑397385 for the TCSIXWT questionnaire) and moved through the typical lifecycle (Logged → Open → Designed → In Progress → Developed → Closed). The tickets were marked “resolved” and then closed after Sandy confirmed acceptance. No further development of translations is planned. The required French display is available in build T2022.8.20230228.1432.FRXX.PATCH.IRIS2020.B5 and remains in T2023.4. Release notes for T2023.4 do not include the translation details, but the functionality is present. 

**Additional Information** 
- Ticket priority was escalated from Medium to High. 
- The issue was transferred to French support and then to Philippe Richard, who created JIRA TC‑357526. 
- A build correction is scheduled for T2022.8; the patch is listed in the version string. 
- Communication with the Edition team clarified that core question translations are not supported in the current releases. 
- After Sandy’s confirmation that the questions will stay untranslated, the ticket was closed. The final JIRA status is “Closed”.",Enhancement Request,Metro Health Network,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: Dde d'évolution : traduction d'un questionnaire existant

DESCRIPTION: **Problem** 
Sandy Kromer requested a French translation of the existing “test de marche” questionnaire. The current version is in English and the translation had not been released. The user needed the questionnaire to be available to all caregivers in all DPI questionnaire tabs. When testing, Sandy confirmed that the questionnaire’s layout appears correctly in French, but the underlying question descriptions (the “core” questions) could not be translated; only the titles are shown in French. She also raised confusion about where to find release‑note information for the French translation, specifically for versions T2022.8 and T2023.4.

**Solution** 
The support team decided that the core question text cannot be translated in the current build. Only the display titles will be in French, which satisfies the user’s requirement that the questionnaire be visible to French‑speaking staff. JIRA tickets were opened (TC‑357526 for the “test de marche” questionnaire and TC‑397385 for the TCSIXWT questionnaire) and moved through the typical lifecycle (Logged → Open → Designed → In Progress → Developed → Closed). The tickets were marked “resolved” and then closed after Sandy confirmed acceptance. No further development of translations is planned. The required French display is available in build T2022.8.20230228.1432.FRXX.PATCH.IRIS2020.B5 and remains in T2023.4. Release notes for T2023.4 do not include the translation details, but the functionality is present. 

**Additional Information** 
- Ticket priority was escalated from Medium to High. 
- The issue was transferred to French support and then to Philippe Richard, who created JIRA TC‑357526. 
- A build correction is scheduled for T2022.8; the patch is listed in the version string. 
- Communication with the Edition team clarified that core question translations are not supported in the current releases. 
- After Sandy’s confirmation that the questions will stay untranslated, the ticket was closed. The final JIRA status is “Closed”.

KEYWORDS: questionnaire, traduction, test de marche, T2023, JIRA

DETAILS: questionnaire, traduction, anglais, test de marche, d'évolution",2022-09-26 00:00:00,questionnaires,1
PC-Q0003,Questionnaire GXXXPACUD	PACU Discharge.,"**Problem** 
Ben Sherwell requested a series of modifications to the PACU Assessment Details section of the discharge questionnaire. The changes involve converting several existing fields into check‑groups or text areas, adding new items (e.g., Hearing Aids, Other Belongings), and redefining the display for Post‑operative Medications and Bladder Assessment. Ben noted that removing dates from certain codes (e.g., 09a) does not make the items visible, implying a potential layout or rendering issue. The required fields are: 
- Post operative medications charted → YES/NO/NA check group 
- Dentures, Glasses, Hearing Aids → In‑situ/With patient/On ward/NA check groups 
- Bladder assessment → NA/IDC/PU Post‑Op check group 
- Other Belongings → Text area 

Initially, Ben attempted to use existing codes (e.g., 09a, 36) but could not make them display correctly, suspecting a layout editor bug. The items for dentures, glasses, hearing aids, and bladder assessment are new and were not part of the original questionnaire, suggesting development effort. 

**Solution** 
Martin Thomas confirmed that the new fields are not currently available and will require development; he logged the request with product management for review. He also promised to investigate the visibility of the Post operative medications and Other Belongings fields. Karen Le Grand clarified that the questionnaire would not be updated globally. Instead, the site should copy the questionnaire and add the new items locally once the staff is trained. Martin then marked the ticket as resolved with the status “customer owned” and “site questionnaire” – effectively shifting responsibility to the site. Ben followed this instruction, created a site‑specific copy of the questionnaire (code BHPACUDC, description “PACU Discharge Checklist”), and saved it locally. 

**Additional Information** 
- JIRA ticket TC‑359819: Logged → Open → Closed; status changes tracked by Silas. 
- Product management review pending for new items; no global deployment planned. 
- The issue was transferred through the support hierarchy: from Ben to Kenney/Ed, Hafez, and ultimately to Martin. 
- The final configuration expected for the local questionnaire includes all the revised check‑groups and the text area for Other Belongings, plus a “Clinical indicators completed” and “Drains checked” field added by Ben during revision. 
- No further development work is expected on the global questionnaire; any future updates must be handled at the site level.",Service Request,Birchwood Medical Group,Medium,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: Questionnaire GXXXPACUD	PACU Discharge.

DESCRIPTION: **Problem** 
Ben Sherwell requested a series of modifications to the PACU Assessment Details section of the discharge questionnaire. The changes involve converting several existing fields into check‑groups or text areas, adding new items (e.g., Hearing Aids, Other Belongings), and redefining the display for Post‑operative Medications and Bladder Assessment. Ben noted that removing dates from certain codes (e.g., 09a) does not make the items visible, implying a potential layout or rendering issue. The required fields are: 
- Post operative medications charted → YES/NO/NA check group 
- Dentures, Glasses, Hearing Aids → In‑situ/With patient/On ward/NA check groups 
- Bladder assessment → NA/IDC/PU Post‑Op check group 
- Other Belongings → Text area 

Initially, Ben attempted to use existing codes (e.g., 09a, 36) but could not make them display correctly, suspecting a layout editor bug. The items for dentures, glasses, hearing aids, and bladder assessment are new and were not part of the original questionnaire, suggesting development effort. 

**Solution** 
Martin Thomas confirmed that the new fields are not currently available and will require development; he logged the request with product management for review. He also promised to investigate the visibility of the Post operative medications and Other Belongings fields. Karen Le Grand clarified that the questionnaire would not be updated globally. Instead, the site should copy the questionnaire and add the new items locally once the staff is trained. Martin then marked the ticket as resolved with the status “customer owned” and “site questionnaire” – effectively shifting responsibility to the site. Ben followed this instruction, created a site‑specific copy of the questionnaire (code BHPACUDC, description “PACU Discharge Checklist”), and saved it locally. 

**Additional Information** 
- JIRA ticket TC‑359819: Logged → Open → Closed; status changes tracked by Silas. 
- Product management review pending for new items; no global deployment planned. 
- The issue was transferred through the support hierarchy: from Ben to Kenney/Ed, Hafez, and ultimately to Martin. 
- The final configuration expected for the local questionnaire includes all the revised check‑groups and the text area for Other Belongings, plus a “Clinical indicators completed” and “Drains checked” field added by Ben during revision. 
- No further development work is expected on the global questionnaire; any future updates must be handled at the site level.

KEYWORDS: PACU Discharge, questionnaire, post operative medications, dentures, bladder assessment

DETAILS: PACU questionnaire, post operative medications, dentures, hearing aids, bladder assessment",2022-10-09 00:00:00,questionnaires,1
PC-Q0004,T2024.6 SDQ Questionnaire Prosocial Scale score within the Total Difficulties Score, ,Live Issue,Northern District Hospital,Medium,PlanetCare,Resolved,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: T2024.6 SDQ Questionnaire Prosocial Scale score within the Total Difficulties Score

KEYWORDS: SDQ Questionnaire, Prosocial Scale, Total Difficulties Score, T2024.6, T2023.2

DETAILS: SDQ Questionnaire, Prosocial Scale, Total Difficulties Score, PMHC MDS Data Specification, CMS agencies",2022-11-21 00:00:00,questionnaires,0
PC-Q0005,INGER Agregar cuestionario escala de evaluación Oral,"**Problem** 
Betzabeth Urrutia requested that the GS Clxx IP “Professional Clínico” set for “sdor IP Fonoaudiólogo Hospitalizado” include the Modified Oral Assessment Scale (BOAS).  The requirement originated in the SSMO implementation queue and was logged as JIRA TC‑366021.  The initial document, “PC-Q0005_Agregar cuestionario escala de evaluación Oral.docx,” was uploaded.  The ticket moved through several handlers: Generico (SSMO), Rubio, Chile Edition, Aliaga, Sepúlveda, and others, indicating a hand‑off chain that involved approval, product analysis, and cross‑departmental review.  The core question was where and how the BOAS questionnaire would be added to the system, specifically which admission types it should apply to and how it would integrate with existing clinical workflows.

**Solution** 
- Aliaga suggested using the standard Core Modified BOAS questionnaire and attached a translated image. 
- Madariaga confirmed the selection and instructed to proceed. 
- A commercial document was prepared and sent to PM; an authorization file was signed by Henry Oróstica and submitted to Lissi for internal approval. 
- Aliaga reported the development work entering the “TRC” prioritization phase. 
- The ticket status progressed: Logged → Open → In Progress → Closed. 
- Development was completed and tested in UAT under two admission entry points: 
  1. **GS SDOR.IP.Fono Hospital Geriatría** – “Tipo Ingreso” and “Acciones Adicionales Profesionales Clínicos Hospitalizado Geriatría.” 
  2. **SDOR.IP.Fonoaudiología Hospital Geriatría** – “Tipo Ingreso” and “Acciones Adicionales Profesionales Clínicos Hospitalizado Geriatría.” 
- Soto confirmed both entries were implemented in UAT, attached validation documentation, and requested approval for production. 
- Caceres confirmed UAT validation and asked for release to LIVE. 
- Soto noted changes in LIVE and reported completion. 
- Gaete closed the ticket, stating that delivery was finished and any future modifications must be requested via a new ticket.

**Additional Information** 
- The ticket (TC‑366021) was fully processed, with all stakeholders (Rubio, Chile Edition, Aliaga, Sepúlveda, Vergara, Lissi, Vergara, etc.) contributing at various stages. 
- A commercial authorization was signed, a product document was created, and the implementation was reviewed by the PM. 
- The BOAS questionnaire is now live for the specified clinical roles and admission types. 
- No further actions are pending; the ticket is marked closed.",Enhancement Request,Stonegate Medical Center,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: INGER Agregar cuestionario escala de evaluación Oral

DESCRIPTION: **Problem** 
Betzabeth Urrutia requested that the GS Clxx IP “Professional Clínico” set for “sdor IP Fonoaudiólogo Hospitalizado” include the Modified Oral Assessment Scale (BOAS).  The requirement originated in the SSMO implementation queue and was logged as JIRA TC‑366021.  The initial document, “PC-Q0005_Agregar cuestionario escala de evaluación Oral.docx,” was uploaded.  The ticket moved through several handlers: Generico (SSMO), Rubio, Chile Edition, Aliaga, Sepúlveda, and others, indicating a hand‑off chain that involved approval, product analysis, and cross‑departmental review.  The core question was where and how the BOAS questionnaire would be added to the system, specifically which admission types it should apply to and how it would integrate with existing clinical workflows.

**Solution** 
- Aliaga suggested using the standard Core Modified BOAS questionnaire and attached a translated image. 
- Madariaga confirmed the selection and instructed to proceed. 
- A commercial document was prepared and sent to PM; an authorization file was signed by Henry Oróstica and submitted to Lissi for internal approval. 
- Aliaga reported the development work entering the “TRC” prioritization phase. 
- The ticket status progressed: Logged → Open → In Progress → Closed. 
- Development was completed and tested in UAT under two admission entry points: 
  1. **GS SDOR.IP.Fono Hospital Geriatría** – “Tipo Ingreso” and “Acciones Adicionales Profesionales Clínicos Hospitalizado Geriatría.” 
  2. **SDOR.IP.Fonoaudiología Hospital Geriatría** – “Tipo Ingreso” and “Acciones Adicionales Profesionales Clínicos Hospitalizado Geriatría.” 
- Soto confirmed both entries were implemented in UAT, attached validation documentation, and requested approval for production. 
- Caceres confirmed UAT validation and asked for release to LIVE. 
- Soto noted changes in LIVE and reported completion. 
- Gaete closed the ticket, stating that delivery was finished and any future modifications must be requested via a new ticket.

**Additional Information** 
- The ticket (TC‑366021) was fully processed, with all stakeholders (Rubio, Chile Edition, Aliaga, Sepúlveda, Vergara, Lissi, Vergara, etc.) contributing at various stages. 
- A commercial authorization was signed, a product document was created, and the implementation was reviewed by the PM. 
- The BOAS questionnaire is now live for the specified clinical roles and admission types. 
- No further actions are pending; the ticket is marked closed.

KEYWORDS: Escala Oral, BOAS, Fonoaudiólogo, Hospitalizado, Geriatría

DETAILS: cuestionario, Escala BOAS, evaluación Oral, Fonoaudiólogo, Hospitalizado",2022-11-23 00:00:00,questionnaires,1
PC-Q0006,Questionneir Code RSPIINHAL1 Problem,"Problem 
The ticket reports a lookup failure in questionnaire RSPIINHAL1 when attempting to update certain fields. The code column contains many spaces and special characters (e.g., “/”, “-”), which prevents successful updates. The user also tried to change control response codes Q04‑Q13 to numeric values (01–13) to eliminate spaces, but control response codes are stored in the questionnaire table and altering them would invalidate existing patient data. An earlier similar issue (ticket I330570) was resolved by converting codes to alphanumeric only. The user has CCR IDPI1874 and has performed an undo of changes in TC BASE. The support team, after investigation, confirmed that the same logic applies: the code must be alphanumeric, no spaces, and the change should be performed on a new questionnaire instance rather than modifying the existing one.

Solution 
1. Create a copy of questionnaire RSPIINHAL1. 
2. In the copied questionnaire, modify all control response codes for items Q04–Q13 to be alphabetic or numeric only (e.g., “01”, “02”, …). 
3. Remove spaces and disallowed characters from the code column in the copied questionnaire. 
4. Verify the questionnaire loads correctly and updates successfully in the BASE environment. 
5. If needed, delete the original questionnaire from TC BASE once the new version is verified. 
The support team will close the ticket once the user confirms the new questionnaire functions as expected. No further investigation is pending.

Additional Information 
- The issue is linked to JIRA ticket TC‑366844 and is considered a known issue. 
- The user was advised not to alter control response codes in the existing questionnaire because it would corrupt historical data. 
- The user was also instructed to undo the CCR change IDPI1874 in BASE. 
- The ticket will be marked as resolved on February 13, 2024, unless the user opens a new ticket with the same symptoms.",Non-Live Issue,Eastbrook Community Hospital,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: Questionneir Code RSPIINHAL1 Problem

DESCRIPTION: Problem 
The ticket reports a lookup failure in questionnaire RSPIINHAL1 when attempting to update certain fields. The code column contains many spaces and special characters (e.g., “/”, “-”), which prevents successful updates. The user also tried to change control response codes Q04‑Q13 to numeric values (01–13) to eliminate spaces, but control response codes are stored in the questionnaire table and altering them would invalidate existing patient data. An earlier similar issue (ticket I330570) was resolved by converting codes to alphanumeric only. The user has CCR IDPI1874 and has performed an undo of changes in TC BASE. The support team, after investigation, confirmed that the same logic applies: the code must be alphanumeric, no spaces, and the change should be performed on a new questionnaire instance rather than modifying the existing one.

Solution 
1. Create a copy of questionnaire RSPIINHAL1. 
2. In the copied questionnaire, modify all control response codes for items Q04–Q13 to be alphabetic or numeric only (e.g., “01”, “02”, …). 
3. Remove spaces and disallowed characters from the code column in the copied questionnaire. 
4. Verify the questionnaire loads correctly and updates successfully in the BASE environment. 
5. If needed, delete the original questionnaire from TC BASE once the new version is verified. 
The support team will close the ticket once the user confirms the new questionnaire functions as expected. No further investigation is pending.

Additional Information 
- The issue is linked to JIRA ticket TC‑366844 and is considered a known issue. 
- The user was advised not to alter control response codes in the existing questionnaire because it would corrupt historical data. 
- The user was also instructed to undo the CCR change IDPI1874 in BASE. 
- The ticket will be marked as resolved on February 13, 2024, unless the user opens a new ticket with the same symptoms.

KEYWORDS: Questionnaire, RSPIINHAL1, lookup, special characters, control response

DETAILS: Questionneir Code RSPIINHAL1, lookup problem, lookup error, RSPIINHAL1, Questionneir",2023-01-09 00:00:00,questionnaires,1
PC-Q0007,INGER_Registro de FUNCTIONAL AMBULATION CLASSIFICATION (FAC),"Problem 
The Instituto Nacional de Geriatría requires a registration for the Functional Ambulation Classification (FAC). No existing location for this data was found, so the request was to evaluate the feasibility of creating a new questionnaire. The ticket was forwarded through several teams: SSMO → Chile Support → Product (Hidalgo), then to Chile Edition, and eventually to the product and commercial groups for approval and deployment. 

Solution 
A clinical feasibility analysis was performed, resulting in a specification that replaced the text “Salvar escaleras” with “requiere de ayuda en escaleras” and defined a 0‑5 scoring system for mobility. The deliverables included: 
- Creation of a Questionnaire Entry (QE) and a simple sum calculation. 
- Creation of an Action linked to the QE. 
- Addition of representative text. 
A commercial document was drafted and sent to the internal approval team. Gabriela Lissi signed it, and the document was formally authorized (DC). The development work was completed in the live environment; only the type of entry and the section where the action should appear remained to be finalized. The required General Service (GS) and Professional Activity (PA) files for hospitalised patients were provided via a shared drive, and the action was configured accordingly. The development was marked as complete, pending UAT validation. 

Additional Information 
- The ticket (TC‑374617) moved from Logged → Open → Closed. 
- A document “INGER - PC-Q0007_Registro de FUNCTIONAL AMBULATION CLASSIFICATION (FAC).docx” was uploaded. 
- Several hand‑offs occurred: from Hidalgo to Chile Edition, to Aliaga, to Sepúlveda, to Vergara, to Lissi, and back to the client. 
- A commercial development contract (DC) was signed and the ticket was closed.",Enhancement Request,Stonegate Medical Center,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: INGER_Registro de FUNCTIONAL AMBULATION CLASSIFICATION (FAC)

DESCRIPTION: Problem 
The Instituto Nacional de Geriatría requires a registration for the Functional Ambulation Classification (FAC). No existing location for this data was found, so the request was to evaluate the feasibility of creating a new questionnaire. The ticket was forwarded through several teams: SSMO → Chile Support → Product (Hidalgo), then to Chile Edition, and eventually to the product and commercial groups for approval and deployment. 

Solution 
A clinical feasibility analysis was performed, resulting in a specification that replaced the text “Salvar escaleras” with “requiere de ayuda en escaleras” and defined a 0‑5 scoring system for mobility. The deliverables included: 
- Creation of a Questionnaire Entry (QE) and a simple sum calculation. 
- Creation of an Action linked to the QE. 
- Addition of representative text. 
A commercial document was drafted and sent to the internal approval team. Gabriela Lissi signed it, and the document was formally authorized (DC). The development work was completed in the live environment; only the type of entry and the section where the action should appear remained to be finalized. The required General Service (GS) and Professional Activity (PA) files for hospitalised patients were provided via a shared drive, and the action was configured accordingly. The development was marked as complete, pending UAT validation. 

Additional Information 
- The ticket (TC‑374617) moved from Logged → Open → Closed. 
- A document “INGER - PC-Q0007_Registro de FUNCTIONAL AMBULATION CLASSIFICATION (FAC).docx” was uploaded. 
- Several hand‑offs occurred: from Hidalgo to Chile Edition, to Aliaga, to Sepúlveda, to Vergara, to Lissi, and back to the client. 
- A commercial development contract (DC) was signed and the ticket was closed.

KEYWORDS: Functional Ambulation Classification, FAC, Geriatría, Hospitalizado, Kinesiología

DETAILS: Instituto Nacional de Geriatría, Functional Ambulation Classification, FAC, cuestionario, registro",2023-02-07 00:00:00,questionnaires,1
PC-Q0008,"ING Crear el cuestionario “Evaluación de Síntomas de Edmonton""", ,Enhancement Request,Stonegate Medical Center,High,PlanetCare,Resolved,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: ING Crear el cuestionario “Evaluación de Síntomas de Edmonton""

KEYWORDS: Edmonton Symptom Assessment System, ESAS, CLXXESAS, CCR SDOR9471, Ingreso Médico Geriátrico

DETAILS: cuestionario, Evaluación de Síntomas de Edmonton, síntomas, Edmonton, creación",2023-02-08 00:00:00,questionnaires,0
PC-Q0009,Deactivate General Consent form, ,Enhancement Request,Cedar Valley Hospital,Urgent,PlanetCare,Resolved,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: Deactivate General Consent form

KEYWORDS: General Consent, Live Environment, Auto-populate, Signature, Patient Name

DETAILS: Deactivate, General Consent, ASPAP, MEYAGENCON, Trackcare",2023-02-15 00:00:00,questionnaires,0
PC-Q0010,Dde évolution : PSY Synthèse d'entrée = ajout de questions,"Problem 
Sandy Kromer requested adding new questions (Q154 “Conduites addictives” and Q155) to questionnaire FRXXPSY001. The request was submitted via an attached evolution request file. The initial development was logged as JIRA TC‑375487, progressed through Designed, Developed, and Closed status. The new questions were implemented in the T2023 release (specifically T2023.4 and T2023.6). However, after enabling the questions in the BASE environment and regenerating the questionnaire, they did not appear because the layout was set to “Site” rather than “Region.” Kromer asked for the Site layout to be removed, and for the new questions to be visible in both BASE and LIVE. After the layout change, the questions appeared in BASE, but Kromer still could not see “Conduites addictives” in the questionnaire, citing that it was not displayed.

Solution 
The support team (Ying Xiaoshi) confirmed that the layout on FRXXPSY001 had been moved to Region, and the questions Q154 and Q155 were now visible in BASE. Kromer verified the change and accepted it. The team noted that a copy from LIVE to BASE would occur after the nightly update (09‑10 April) and that the post‑install script would include this layout change for the LIVE environment. Ying asked Kromer to confirm whether the layout change was acceptable on LIVE; Kromer replied “yes.” Thus the ticket was closed. The change is scheduled to be applied to LIVE on the 09‑10 April nightly maintenance window. No further action required; the question “Conduites addictives” is positioned above the accordion “Vécu – environnement familial et social” as confirmed by screenshots.

Additional Information 
- JIRA TC‑375487: Logged → Open → Designed → Developed → Closed. 
- New questions added in T2023.4/T2023.6; layout changed to Region. 
- Live update scheduled 09‑10 April; post‑install script updated accordingly. 
- All parties acknowledged the change; ticket marked resolved and closed. 
- No remaining issues; the questionnaire now includes Q154 and Q155 as intended.",Enhancement Request,Metro Health Network,High,PlanetCare,Closed,"QUESTIONNAIRE_TYPE: Support Ticket

TITLE: Dde évolution : PSY Synthèse d'entrée = ajout de questions

DESCRIPTION: Problem 
Sandy Kromer requested adding new questions (Q154 “Conduites addictives” and Q155) to questionnaire FRXXPSY001. The request was submitted via an attached evolution request file. The initial development was logged as JIRA TC‑375487, progressed through Designed, Developed, and Closed status. The new questions were implemented in the T2023 release (specifically T2023.4 and T2023.6). However, after enabling the questions in the BASE environment and regenerating the questionnaire, they did not appear because the layout was set to “Site” rather than “Region.” Kromer asked for the Site layout to be removed, and for the new questions to be visible in both BASE and LIVE. After the layout change, the questions appeared in BASE, but Kromer still could not see “Conduites addictives” in the questionnaire, citing that it was not displayed.

Solution 
The support team (Ying Xiaoshi) confirmed that the layout on FRXXPSY001 had been moved to Region, and the questions Q154 and Q155 were now visible in BASE. Kromer verified the change and accepted it. The team noted that a copy from LIVE to BASE would occur after the nightly update (09‑10 April) and that the post‑install script would include this layout change for the LIVE environment. Ying asked Kromer to confirm whether the layout change was acceptable on LIVE; Kromer replied “yes.” Thus the ticket was closed. The change is scheduled to be applied to LIVE on the 09‑10 April nightly maintenance window. No further action required; the question “Conduites addictives” is positioned above the accordion “Vécu – environnement familial et social” as confirmed by screenshots.

Additional Information 
- JIRA TC‑375487: Logged → Open → Designed → Developed → Closed. 
- New questions added in T2023.4/T2023.6; layout changed to Region. 
- Live update scheduled 09‑10 April; post‑install script updated accordingly. 
- All parties acknowledged the change; ticket marked resolved and closed. 
- No remaining issues; the questionnaire now includes Q154 and Q155 as intended.

KEYWORDS: FRXXPSY001, layout Region, T2023, conduites addictives, Q154

DETAILS: évolution, PSY, FRXXPSY001, questionnaire, captures d'écran",2023-02-17 00:00:00,questionnaires,1
